month,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,year,day
1,1.6271186440677967,2022.2711864406779,1.0,15.203389830508474,2285.5254237288136,6.6440677966101696,41.983050847457626,41.50847457627118,2.6440677966101696,123.72881355932203,67.0677966101695,58.54237288135593,67.30508474576271,25.135593220338983,0.9152542372881356,21.152542372881356,9.05084745762712,2022.2711864406779,15.203389830508474
2,1.6666666666666667,2022.450980392157,2.0,13.686274509803921,1744.4901960784314,13.784313725490197,43.411764705882355,43.0,3.019607843137255,125.25490196078431,68.15686274509804,58.88235294117647,66.2156862745098,28.529411764705884,0.19607843137254902,19.098039215686274,11.686274509803921,2022.450980392157,13.686274509803921
3,1.6231884057971016,2022.463768115942,3.0,16.91304347826087,2451.942028985507,15.08695652173913,53.08695652173913,53.17391304347826,3.7971014492753623,121.10144927536231,69.85507246376811,57.36231884057971,69.0,21.971014492753625,1.0724637681159421,19.884057971014492,10.782608695652174,2022.463768115942,16.91304347826087
4,1.4745762711864407,2022.2203389830509,4.0,15.474576271186441,2346.7118644067796,11.525423728813559,52.271186440677965,49.11864406779661,3.0338983050847457,126.13559322033899,68.42372881355932,47.932203389830505,62.271186440677965,26.864406779661017,0.03389830508474576,17.593220338983052,10.627118644067796,2022.2203389830509,15.474576271186441
5,1.5446428571428572,2022.1875,5.0,13.589285714285714,2349.8839285714284,10.142857142857142,34.160714285714285,39.205357142857146,2.5357142857142856,123.6875,69.15178571428571,52.392857142857146,63.05357142857143,34.098214285714285,0.9107142857142857,17.776785714285715,12.8125,2022.1875,13.589285714285714
6,1.9861111111111112,2022.2916666666667,6.0,13.569444444444445,2377.3333333333335,16.38888888888889,47.47222222222222,57.166666666666664,3.9166666666666665,124.58333333333333,73.31944444444444,52.708333333333336,66.56944444444444,22.48611111111111,3.0416666666666665,18.430555555555557,9.666666666666666,2022.2916666666667,13.569444444444445
7,1.5,2022.125,7.0,14.666666666666666,2822.5625,23.395833333333332,69.58333333333333,69.77083333333333,4.583333333333333,123.8125,67.27083333333333,52.270833333333336,65.5,23.208333333333332,1.8125,15.541666666666666,8.75,2022.125,14.666666666666666
8,1.8064516129032258,2021.6129032258063,8.0,12.548387096774194,3457.6129032258063,8.96774193548387,72.0,47.70967741935484,2.935483870967742,118.48387096774194,71.96774193548387,53.903225806451616,71.0,16.387096774193548,0.3870967741935484,17.967741935483872,13.387096774193548,2021.6129032258063,12.548387096774194
9,1.7894736842105263,2021.5263157894738,9.0,13.578947368421053,2911.184210526316,6.631578947368421,62.55263157894737,39.68421052631579,3.1578947368421053,125.26315789473684,71.8157894736842,48.526315789473685,66.92105263157895,20.210526315789473,0.42105263157894735,20.605263157894736,13.052631578947368,2021.5263157894738,13.578947368421053
10,1.3877551020408163,2021.7551020408164,10.0,19.306122448979593,2375.9591836734694,6.877551020408164,46.48979591836735,42.755102040816325,2.1020408163265305,119.22448979591837,67.24489795918367,41.795918367346935,59.734693877551024,26.775510204081634,1.469387755102041,18.857142857142858,9.408163265306122,2021.7551020408164,19.306122448979593
11,1.8936170212765957,2021.5531914893618,11.0,12.063829787234043,2218.8297872340427,5.170212765957447,44.702127659574465,38.659574468085104,2.021276595744681,124.72340425531915,68.19148936170212,49.53191489361702,62.91489361702128,21.04255319148936,2.9148936170212765,18.29787234042553,13.74468085106383,2021.5531914893618,12.063829787234043
12,1.721311475409836,2021.7868852459017,12.0,10.901639344262295,1616.9344262295083,12.491803278688524,29.049180327868854,51.65573770491803,2.2459016393442623,120.36065573770492,65.37704918032787,53.80327868852459,60.52459016393443,37.47540983606557,0.639344262295082,17.62295081967213,10.540983606557377,2021.7868852459017,10.901639344262295
