,percs,attribute
0,64,danceability_%
1,51,valence_%
2,63,energy_%
3,12,acousticness_%
4,0,instrumentalness_%
5,19,liveness_%
6,5,speechiness_%
7,44,danceability_%
8,27,valence_%
9,32,energy_%
10,89,acousticness_%
11,0,instrumentalness_%
12,14,liveness_%
13,5,speechiness_%
14,65,danceability_%
15,35,valence_%
16,65,energy_%
17,44,acousticness_%
18,18,instrumentalness_%
19,21,liveness_%
20,7,speechiness_%
21,56,danceability_%
22,43,valence_%
23,53,energy_%
24,24,acousticness_%
25,0,instrumentalness_%
26,12,liveness_%
27,4,speechiness_%
28,67,danceability_%
29,26,valence_%
30,64,energy_%
31,52,acousticness_%
32,0,instrumentalness_%
33,17,liveness_%
34,10,speechiness_%
35,82,danceability_%
36,69,valence_%
37,83,energy_%
38,3,acousticness_%
39,0,instrumentalness_%
40,27,liveness_%
41,5,speechiness_%
42,60,danceability_%
43,10,valence_%
44,57,energy_%
45,1,acousticness_%
46,0,instrumentalness_%
47,50,liveness_%
48,3,speechiness_%
49,61,danceability_%
50,32,valence_%
51,67,energy_%
52,15,acousticness_%
53,0,instrumentalness_%
54,11,liveness_%
55,5,speechiness_%
56,73,danceability_%
57,44,valence_%
58,57,energy_%
59,39,acousticness_%
60,0,instrumentalness_%
61,32,liveness_%
62,6,speechiness_%
63,56,danceability_%
64,72,valence_%
65,85,energy_%
66,0,acousticness_%
67,0,instrumentalness_%
68,15,liveness_%
69,3,speechiness_%
70,85,danceability_%
71,22,valence_%
72,62,energy_%
73,12,acousticness_%
74,0,instrumentalness_%
75,28,liveness_%
76,9,speechiness_%
77,74,danceability_%
78,76,valence_%
79,76,energy_%
80,6,acousticness_%
81,0,instrumentalness_%
82,10,liveness_%
83,9,speechiness_%
84,78,danceability_%
85,70,valence_%
86,81,energy_%
87,57,acousticness_%
88,0,instrumentalness_%
89,10,liveness_%
90,5,speechiness_%
91,59,danceability_%
92,70,valence_%
93,74,energy_%
94,56,acousticness_%
95,0,instrumentalness_%
96,11,liveness_%
97,40,speechiness_%
98,60,danceability_%
99,13,valence_%
100,53,energy_%
101,4,acousticness_%
102,0,instrumentalness_%
103,21,liveness_%
104,4,speechiness_%
105,73,danceability_%
106,71,valence_%
107,69,energy_%
108,53,acousticness_%
109,0,instrumentalness_%
110,32,liveness_%
111,9,speechiness_%
112,53,danceability_%
113,40,valence_%
114,36,energy_%
115,73,acousticness_%
116,0,instrumentalness_%
117,11,liveness_%
118,33,speechiness_%
119,86,danceability_%
120,68,valence_%
121,79,energy_%
122,39,acousticness_%
123,0,instrumentalness_%
124,11,liveness_%
125,29,speechiness_%
126,85,danceability_%
127,40,valence_%
128,43,energy_%
129,4,acousticness_%
130,0,instrumentalness_%
131,39,liveness_%
132,32,speechiness_%
133,74,danceability_%
134,55,valence_%
135,85,energy_%
136,1,acousticness_%
137,0,instrumentalness_%
138,5,liveness_%
139,22,speechiness_%
140,80,danceability_%
141,38,valence_%
142,88,energy_%
143,11,acousticness_%
144,0,instrumentalness_%
145,11,liveness_%
146,5,speechiness_%
147,63,danceability_%
148,29,valence_%
149,62,energy_%
150,4,acousticness_%
151,0,instrumentalness_%
152,18,liveness_%
153,4,speechiness_%
154,75,danceability_%
155,85,valence_%
156,84,energy_%
157,10,acousticness_%
158,0,instrumentalness_%
159,31,liveness_%
160,19,speechiness_%
161,60,danceability_%
162,24,valence_%
163,39,energy_%
164,57,acousticness_%
165,0,instrumentalness_%
166,8,liveness_%
167,3,speechiness_%
168,77,danceability_%
169,35,valence_%
170,88,energy_%
171,16,acousticness_%
172,0,instrumentalness_%
173,17,liveness_%
174,9,speechiness_%
175,80,danceability_%
176,29,valence_%
177,67,energy_%
178,29,acousticness_%
179,0,instrumentalness_%
180,12,liveness_%
181,3,speechiness_%
182,82,danceability_%
183,89,valence_%
184,85,energy_%
185,4,acousticness_%
186,0,instrumentalness_%
187,23,liveness_%
188,6,speechiness_%
189,70,danceability_%
190,86,valence_%
191,68,energy_%
192,24,acousticness_%
193,0,instrumentalness_%
194,11,liveness_%
195,4,speechiness_%
196,70,danceability_%
197,42,valence_%
198,43,energy_%
199,78,acousticness_%
200,0,instrumentalness_%
201,11,liveness_%
202,3,speechiness_%
203,80,danceability_%
204,82,valence_%
205,80,energy_%
206,43,acousticness_%
207,0,instrumentalness_%
208,14,liveness_%
209,4,speechiness_%
210,72,danceability_%
211,22,valence_%
212,46,energy_%
213,24,acousticness_%
214,0,instrumentalness_%
215,9,liveness_%
216,6,speechiness_%
217,64,danceability_%
218,67,valence_%
219,80,energy_%
220,0,acousticness_%
221,0,instrumentalness_%
222,36,liveness_%
223,3,speechiness_%
224,87,danceability_%
225,53,valence_%
226,52,energy_%
227,66,acousticness_%
228,1,instrumentalness_%
229,11,liveness_%
230,5,speechiness_%
231,41,danceability_%
232,27,valence_%
233,64,energy_%
234,36,acousticness_%
235,0,instrumentalness_%
236,60,liveness_%
237,3,speechiness_%
238,60,danceability_%
239,19,valence_%
240,20,energy_%
241,78,acousticness_%
242,0,instrumentalness_%
243,11,liveness_%
244,5,speechiness_%
245,61,danceability_%
246,20,valence_%
247,48,energy_%
248,21,acousticness_%
249,0,instrumentalness_%
250,12,liveness_%
251,6,speechiness_%
252,65,danceability_%
253,87,valence_%
254,74,energy_%
255,22,acousticness_%
256,0,instrumentalness_%
257,42,liveness_%
258,4,speechiness_%
259,82,danceability_%
260,80,valence_%
261,86,energy_%
262,1,acousticness_%
263,0,instrumentalness_%
264,30,liveness_%
265,13,speechiness_%
266,83,danceability_%
267,40,valence_%
268,55,energy_%
269,16,acousticness_%
270,0,instrumentalness_%
271,14,liveness_%
272,23,speechiness_%
273,61,danceability_%
274,66,valence_%
275,71,energy_%
276,53,acousticness_%
277,0,instrumentalness_%
278,32,liveness_%
279,46,speechiness_%
280,88,danceability_%
281,52,valence_%
282,69,energy_%
283,0,acousticness_%
284,0,instrumentalness_%
285,8,liveness_%
286,23,speechiness_%
287,74,danceability_%
288,22,valence_%
289,67,energy_%
290,0,acousticness_%
291,0,instrumentalness_%
292,11,liveness_%
293,46,speechiness_%
294,75,danceability_%
295,96,valence_%
296,61,energy_%
297,0,acousticness_%
298,0,instrumentalness_%
299,18,liveness_%
300,4,speechiness_%
301,39,danceability_%
302,36,valence_%
303,45,energy_%
304,81,acousticness_%
305,0,instrumentalness_%
306,8,liveness_%
307,13,speechiness_%
308,65,danceability_%
309,24,valence_%
310,53,energy_%
311,6,acousticness_%
312,0,instrumentalness_%
313,51,liveness_%
314,4,speechiness_%
315,71,danceability_%
316,17,valence_%
317,61,energy_%
318,36,acousticness_%
319,0,instrumentalness_%
320,8,liveness_%
321,5,speechiness_%
322,77,danceability_%
323,65,valence_%
324,72,energy_%
325,2,acousticness_%
326,0,instrumentalness_%
327,7,liveness_%
328,5,speechiness_%
329,68,danceability_%
330,83,valence_%
331,81,energy_%
332,9,acousticness_%
333,0,instrumentalness_%
334,8,liveness_%
335,4,speechiness_%
336,69,danceability_%
337,69,valence_%
338,51,energy_%
339,63,acousticness_%
340,0,instrumentalness_%
341,38,liveness_%
342,4,speechiness_%
343,70,danceability_%
344,29,valence_%
345,73,energy_%
346,12,acousticness_%
347,0,instrumentalness_%
348,11,liveness_%
349,26,speechiness_%
